DEN vs. PHX,11/24/2019,W,240,116,43,91,47.3,14,31,45.2,16,23,69.6,19,33,52,24,4,2,11,16,12,
WAS vs. SAC,11/24/2019,L,240,106,42,92,45.7,13,34,38.2,9,12,75.0,12,33,45,29,5,2,17,23,-7,
PHX @ DEN,11/24/2019,L,240,104,41,82,50.0,12,35,34.3,10,12,83.3,7,29,36,25,4,2,12,18,-12,
DAL @ HOU,11/24/2019,W,240,137,49,102,48.0,17,44,38.6,22,28,78.6,12,34,46,28,9,5,12,22,14,
LAC vs. NOP,11/24/2019,W,240,134,46,98,46.9,16,43,37.2,26,33,78.8,16,40,56,27,4,5,8,21,25,
NOP @ LAC,11/24/2019,L,240,109,43,98,43.9,13,41,31.7,10,18,55.6,12,33,45,26,1,6,9,26,-25,
SAC @ WAS,11/24/2019,W,240,113,39,81,48.1,11,31,35.5,24,28,85.7,6,33,39,22,9,5,14,17,7,
BKN @ NYK,11/24/2019,W,240,103,31,77,40.3,14,38,36.8,27,34,79.4,7,28,35,18,6,1,12,16,2,
NYK vs. BKN,11/24/2019,L,240,101,37,80,46.3,18,35,51.4,9,16,56.3,9,34,43,22,6,4,19,29,-2,
ATL vs. MIN,11/25/2019,L,240,113,41,94,43.6,10,32,31.3,21,26,80.8,9,33,42,26,6,4,18,25,-12,
BOS vs. SAC,11/25/2019,W,240,103,38,85,44.7,7,30,23.3,20,23,87.0,11,27,38,20,10,4,12,16,1,
DET vs. ORL,11/25/2019,W,240,103,34,79,43.0,14,38,36.8,21,25,84.0,9,40,49,23,6,5,15,20,15,
ORL @ DET,11/25/2019,L,240,88,32,84,38.1,8,25,32.0,16,22,72.7,8,33,41,15,8,7,10,21,-15,
IND vs. MEM,11/25/2019,W,240,126,51,94,54.3,18,33,54.5,6,10,60.0,10,37,47,29,6,6,13,11,12,
MEM @ IND,11/25/2019,L,240,114,46,96,47.9,13,29,44.8,9,13,69.2,8,32,40,30,6,5,9,16,-12,
LAL @ SAS,11/25/2019,W,240,114,44,89,49.4,14,33,42.4,12,18,66.7,10,30,40,28,7,6,9,18,10,
SAS vs. LAL,11/25/2019,L,240,104,41,88,46.6,10,25,40.0,12,15,80.0,9,32,41,23,4,5,13,22,-10,
TOR vs. PHI,11/25/2019,W,240,101,38,84,45.2,11,34,32.4,14,22,63.6,8,32,40,27,5,5,10,18,5,
PHI @ TOR,11/25/2019,L,240,96,36,88,40.9,15,40,37.5,9,16,56.3,14,37,51,25,7,3,16,20,-5,
MIL vs. UTA,11/25/2019,W,240,122,43,97,44.3,13,41,31.7,23,29,79.3,15,34,49,21,6,6,9,15,4,
UTA @ MIL,11/25/2019,L,240,118,43,85,50.6,21,45,46.7,11,12,91.7,4,36,40,29,4,6,17,23,-4,
GSW vs. OKC,11/25/2019,L,240,97,37,89,41.6,9,20,45.0,14,16,87.5,9,32,41,27,10,7,13,17,-3,
SAC @ BOS,11/25/2019,L,240,102,37,79,46.8,18,47,38.3,10,15,66.7,8,28,36,28,3,8,17,18,-1,
OKC @ GSW,11/25/2019,W,240,100,40,85,47.1,11,32,34.4,9,11,81.8,9,34,43,26,5,13,16,16,3,
MIN @ ATL,11/25/2019,W,240,125,41,90,45.6,15,35,42.9,28,36,77.8,14,33,47,27,10,6,14,25,12,
CLE vs. BKN,11/25/2019,L,240,106,40,94,42.6,13,32,40.6,13,20,65.0,12,33,45,24,5,4,12,14,-2,
BKN @ CLE,11/25/2019,W,240,108,44,94,46.8,11,34,32.4,9,11,81.8,12,36,48,29,8,10,10,21,2,
CHI vs. POR,11/25/2019,L,240,94,36,86,41.9,9,39,23.1,13,20,65.0,8,29,37,24,8,4,17,20,-23,
CHA @ MIA,11/25/2019,L,240,100,36,87,41.4,9,33,27.3,19,25,76.0,10,25,35,25,11,0,14,24,-17,
POR @ CHI,11/25/2019,W,240,117,46,89,51.7,8,27,29.6,17,22,77.3,13,42,55,23,8,5,15,20,23,
